Week,Home Team,Home Score,Away Team,Away Score,Winner
13,Aj's Grindr account,125.76,Young Spanish Lover Boys,105.78,Aj's Grindr account
13,Mr Aj,108.8,Bowdoin Bears,154.3,Bowdoin Bears
13,Cleveland Lives Matter ✊🏿,119.58,Pumpers and Strokers,164.62,Pumpers and Strokers
13,call me if you  get mossed,90.2,Djibouti Biddi suggers,115.44,Djibouti Biddi suggers
13,Roy’s Foreskin,134.36,Co(k Commanders,180.52,Co(k Commanders
14,Chubb Guzzlers,130.44,Aj's Grindr account,131.62,Aj's Grindr account
14,Young Spanish Lover Boys,132.42,Mr Aj,100.3,Young Spanish Lover Boys
14,Bowdoin Bears,107.14,Cleveland Lives Matter ✊🏿,87.52,Bowdoin Bears
14,Pumpers and Strokers,150.98,call me if you  get mossed,121.24,Pumpers and Strokers
14,Djibouti Biddi suggers,98.0,Roy’s Foreskin,111.94,Roy’s Foreskin
14,Co(k Commanders,142.78,Team Blecherbeast ,130.54,Co(k Commanders
15,Bowdoin Bears,148.22,Chubb Guzzlers,93.14,Bowdoin Bears
15,Young Spanish Lover Boys,160.66,Co(k Commanders,93.56,Young Spanish Lover Boys
15,Pumpers and Strokers,152.82,Djibouti Biddi suggers,122.3,Pumpers and Strokers
15,Roy’s Foreskin,84.76,Aj's Grindr account,135.88,Aj's Grindr account
15,Mr Aj,112.06,Team Blecherbeast ,90.64,Mr Aj
15,call me if you  get mossed,110.56,Cleveland Lives Matter ✊🏿,123.16,Cleveland Lives Matter ✊🏿
16,Bowdoin Bears,172.52,Young Spanish Lover Boys,82.98,Bowdoin Bears
16,Pumpers and Strokers,123.14,Aj's Grindr account,87.8,Pumpers and Strokers
16,Roy’s Foreskin,113.4,Co(k Commanders,118.14,Co(k Commanders
16,Djibouti Biddi suggers,153.28,Chubb Guzzlers,113.7,Djibouti Biddi suggers
16,Mr Aj,87.42,Cleveland Lives Matter ✊🏿,181.86,Cleveland Lives Matter ✊🏿
16,Team Blecherbeast ,167.78,call me if you  get mossed,143.2,Team Blecherbeast 
17,Bowdoin Bears,101.38,Pumpers and Strokers,185.08,Pumpers and Strokers
17,Young Spanish Lover Boys,156.36,Aj's Grindr account,83.3,Young Spanish Lover Boys
17,Co(k Commanders,123.44,Djibouti Biddi suggers,107.64,Co(k Commanders
17,Roy’s Foreskin,156.2,Chubb Guzzlers,148.42,Roy’s Foreskin
17,Team Blecherbeast ,141.14,Cleveland Lives Matter ✊🏿,108.34,Team Blecherbeast 
17,Mr Aj,58.68,call me if you  get mossed,120.2,call me if you  get mossed
